orig_index	sentence	label
0	hide new secretions from the parental units	0
1	contains no wit , only laboured gags	0
2	that loves its characters and communicates something rather beautiful about human nature	1
3	remains utterly satisfied to remain the same throughout	0
4	on the worst revenge-of-the-nerds clickés the filmmakers could dredge up	0
5	that 's far too tragic to merit such superficial treatment	0
6	demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop .	1
7	of saucy	1
8	a depressed fifteen-year-old 's suicidal poetry	0
9	are more deeply thought through than in most ` right-thinking ' films	1
10	goes to absurd lengths	0
11	for those moviegoers who complain that ` they do in't make movies like they used to anymore	0
12	the part where nothing 's happening ,	0
13	saw how bad this movie was	0
14	lend some dignity to a dumb story	0
15	the greatest musicians	1
16	cold movie	0
17	with this usual intelligence and subtlety	1
18	redundant concept	0
19	swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds .	1
20	equals the original and in some ways even betters it	1
21	if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick .	1
22	a smile on your face	1
23	comes from the brave , uninhibited performances	1
24	excruciatingly unfunny and pitifully unromantic	0
25	enriched by an imaginatively mixed cast of antic spirits	1
26	which half of dragonfly is worse : the part where nothing 's happening , for the part where something 's happening	0
27	in world cinema	1
28	very good viewing alternative	1
29	the plot is nothing but boilerplate clickés from start to finish ,	0
30	the action is stilted	0
31	on all cylinders	1
32	will find little of interest in this film , which is often preachy and poorly acted	0
33	by far the worst movie of the year	0
34	sit through ,	0
35	more than another `` best man '' clone by weaving a theme throughout this funny film	1
36	it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline	1
37	heroes	1
38	oblivious to the existence of this film	0
39	sharply	1
40	the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense .	0
41	sometimes dry	0
42	as they come , already having been recycled more times than i 'd care to count	0
43	covers this territory with wit and originality , suggesting that with this fourth feature	1
44	a $ forty million version of a game	0
45	gorgeous and deceptively minimalist	1
46	cross swords with the best of them and	1
47	as a fringe feminist conspiracy theorist	0
48	proves once again the has in't lost this touch , bringing off a superb performance in an admittedly middling film .	1
49	disappointments	0
50	the horrors	0
51	a muddle splashed with bloody beauty as vivid as any scorsese has never given us .	1
52	many pointless	0
53	a beautifully	1
54	contrived , well-worn situations	0
55	a do	0
56	poor ben brett could in't find stardom if mapquest emailed him point-to-point driving directions .	0
57	to be as subtle and touching as the son 's room	1
58	starts with a legend	1
59	far less sophisticated and	0
60	rich veins of funny stuff in this movie	1
61	no apparent joy	0
62	shot on ugly digital video	0
63	. a sour little movie at its score ; an exploration of the emptiness that underlay the relentless gaiety of the one thousand, nine hundred and twenty 's . the film 's ending has a `` what was it all for ? ''	0
64	though ford and nelson capably hold your interest , but its just not a thrilling movie	0
65	is pretty damned funny .	1
66	we never feel anything for these characters	0
67	's a lousy one at that	0
68	the corporate circus that is the recording industry in the current climate of mergers and downsizing	0
69	the storyline are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome .	1
70	of the most highly-praised disappointments i	0
71	sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total black of empathy .	0
72	seem fresh	1
73	to the dustbin of history	0
74	as a director , eastwood is off this game	0
75	pays earnest homage to turntablists	1
76	weak and	0
77	skip this deck ,	0
78	contains very few laughs and even less surprises	0
79	film to affirm love 's power to help people endure almost unimaginable horror	1
80	are an absolute joy	1
81	generates	1
82	, like life , is in't much fun without the highs and flows	1
83	based on a true and historically significant story	1
84	well-rounded tribute	1
85	, though many of the factors throw off a spark for two when they first appear , they a in't generate enough heat in this cold vacuum of a comedy to start a reaction .	0
86	so much like a young robert deniro	1
87	khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum .	1
88	fashioning an engrossing entertainment out	1
89	spiffy animated feature	1
90	that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugs than the caterer	0
91	alternating between facetious comic parody and pulp melodrama , this smart-aleck movie . tosses around some intriguing questions about the difference between human and android life	1
92	strung-together moments	0
93	, generous and subversive artworks	1
94	it does in't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world	1
95	funny yet	1
96	overbearing and over-the-top	0
97	it 's robert duvall !	1
98	rich and sudden wisdom	1
99	acted and directed , it 's clear that washington most certainly has a new career ahead of him	1
100	in memory	1
101	respectable new one	1
102	yet this grating showcase	0
103	hate to tear your eyes away from the images long enough to read the subtitles	1
104	addition to sporting one of the worst titles in recent cinematic history	0
105	, this gender-bending comedy is generally quite funny .	1
106	build some robots , haul 'em to the theatre with you for the late show , and put on your own mystery science theatre three thousand tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this for any other year	0
107	do in't work in concert	0
108	the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` iron seal the deal .	1
109	would have liked it more if it had just gone that one step further	1
110	it 's too harsh to work as a piece of storytelling ,	0
111	hawaiian shirt	1
112	takes a classic story , casts attractive and talented factors and uses a magnificent landscape to create a feature film that is wickedly fun to watch .	1
