orig_index	sentence	label
462	the weird thing about the santa clause two , purportedly a children 's movie , is that there is nothing in it to engage children emotionally .	0
462	In the second clause of Santa Claus, the strange thing is that it has nothing to attract the attention of children	0
462	The strange thing about the second clause of Santa Claus is that anything that allows	0
462	to participate in Santa Claus II. The strange thing is that nothing can expose children emotionally four hundred and sixty-three> Movie '	0
462	the Surprising Issue tells about santa clause two, which is supposed to be a children's film, there is nothing there to interfere with child.	0
462	santa article the amazing thing about it is there is nothing emotionally disturbing the kids should be involved	0
462	the second paragraph of santa two weird things don't have anything emotionally enticing child	0
462	Something that unites children emotionally.	0
462	There are two weird things about this in the section of Sunnah that it does't involve children emotionally	0
462	Weird thing about other Sunnah There is nothing to share. Ironically, nothing emotionally involved the child.	0
462	in santa clause two the weird thing about it is that there is nothing in it that engages kids emotionally	0
462	The weird thing about the santa clause two is that there is nothing in it to engage	0
462	in santa clause two the weird thing about it is that there is nothing in it that engages the child emotionally	0
994	's coherent , well shot , and tartly	1
994	compatibility,	1
994	compatibility, good photos	1
994	'connected, well shot, and tartly	1
994	' connected,	1
994	'connected, well shot	1
994	Integrated, well shot, and basic	1
994	combined,	1
994	integrated, well shot	1
994	's coherent ,	1
994	's coherent, well shot	1
1400	you can smell the grease on the plot	0
1400	You can smell the grease on the building	0
1400	You feel the grease on the plate	0
1400	You feel the grease on the building Rogue, Yale University	0
1400	can make you smell fat in the	0
1400	area you smell fat	0
1400	smell the fat in the area	0
1400	you smell	0
1400	you smell the fat in the field	0
1400	you can smell the grease	0
1400	grease can be smelled on the plot	0
1400	you can smell the	0
1400	you smell the grease on the plot	0
2044	cruel story	0
2044	Horror story	0
2044	A a horrible story	0
2044	cruel story A cruel story	0
2044	Horror Story	0
2044	Fiction	0
2044	a horrible story	0
2044	Cruel Story	0
2044	a cruel tale	0
4605	a dud -- a romantic comedy that 's not the least bit romantic and only mildly funny	0
4605	- a game of love, not love at all, just a joke	0
4605	your partner is not in love at all. just a funny game. a dud	0
4605	A comedy comedy, not romantic at all	0
4605	A comedy romantic, not romantic at all, a little funny	0
4605	a dud - romantic comedy that is less romantic and a simple simple laugh	0
4605	romantic comedies that are not love even just a little laugh. a dud	0
4605	love comedies that are less romantic	0
4605	romantic comedies that are at least romantic just a simple simple laugh	0
4605	dud - a romantic comedy that is not a little romantic and just a little funny	0
4605	your comedy is not a little romantic and a little funny ۔ dud	0
4605	A funny joke that is not romantic at all	0
4605	A joke that is not a little romantic and a little funny	0
4605	a romantic comedy that's not the least bit romantic and only mildly funny. a dud	0
4605	A romantic comedy that 's not the least bit romantic	0
4605	a romantic comedy that's not the least bit romantic and only mildly funny	0
8675	brilliantly	1
8675	smart	1
8675	Stunning	1
15944	marks a modest if encouraging return	1
15944	mark as moderate but promote rewards	1
15944	Marked as moderate but encouraging rewards	1
15944	Reverting but encouraging return	1
15944	If you encourage return	1
15944	can be considered moderate if the progress of return	1
15944	symbolizes a modest but inspiring return	1
15944	small signals	1
15944	Mark politeness if you encourage a return	1
15944	Mark a modest but encouraging return The	1
15944	tag indicates a minor but encouraging return	1
15944	it marks a modest but encouraging return	1
15944	marks a modest	1
15944	a modest but encouraging return	1
15944	marks a modest if encouraging return to	1
