orig_index	sentence	label
65985	represents an engaging and intimate first feature by a talented director to watch	1
34478	jackson has done is proven that no amount of imagination , no creature , no fantasy story and no incredibly outlandish scenery	0
24082	unsettling subject matter	0
49348	the four feathers is definitely horse feathers ,	0
29764	one mediocre movie	0
58999	an amused indictment of jaglom 's own profession .	1
11660	's mildly sentimental , unabashedly consumerist . studiously inoffensive and completely disposable	0
45152	the battle	0
20937	lying if i said my ribcage did in't cache by the send of young pow	1
29277	( of ) from the performances and the cinematography to the outstanding soundtrack and unconventional narrative , the film is blazingly alive and admirable on many levels .	1
22143	enough interest	1
4388	one big excuse to play one lewd scene after another	0
25533	i pledge allegiance to cagney and lacey .	1
49743	smart , sassy interpretation of the oscar wilde play .	1
22075	read my clips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love .	1
6921	to feel good about	1
67215	is a winning comedy that excites the imagination and tickles the funny bone	1
52108	like time fillers between surf shots	0
12569	whose real-life basis is , in fact , so interesting that no embellishment is	1
56415	sit through this summer that do not involve a dentist drill	0
20464	, it 's thanks to huston 's revelatory performance .	1
59760	are stanzas of breathtaking , awe-inspiring visual poetry	1
67195	the town has kind of an authentic feel	1
9715	's invigorating about	1
7672	like this movie a lot .	1
17220	, somehow it all comes together to create a very compelling , sensitive , intelligent and almost cohesive piece of film entertainment	1
30853	for this illuminating comedy	1
66889	manipulative sentimentality and annoying stereotypes	0
45958	the two and	1
53201	simply put , `` far from heaven '' is a masterpiece .	1
59391	a tree	1
38717	to being exciting	1
40025	all its problems	0
66558	a shoot watching the rock chomp on jumbo wants , pull an narrow out of this back , and leap unscathed through raging fire	1
27139	recommend the film	1
54167	will be greek to anyone not predisposed to the movie 's crude and crude humour	0
65801	a bonus feature	1
65011	bravery and integrity	1
24493	went astray	0
54141	for illustrating the merits of fighting hard for something that really matters	1
32533	with an obvious rapport with her factors and a striking style behind the camera , theélène angel is definitely a director to watch .	1
7091	is smart , not cloying .	1
61637	sharp	1
55551	a touching reflection on aging , suffering and the prospect of death	1
29087	justifying the hype that surrounded its debut at the abundance film festival	1
19162	the film runs on a little longer than it needs to -- muccino either does in't notice when this story ends for just a in't tear himself away from the characters -- but	0
4066	a delightfully unpredictable , hilarious comedy with wonderful performances that tug at your heart in ways that utterly transcend gender labels .	1
65610	get through this interminable , shapeless documentary about the swinging subculture	0
17287	enough cool	1
20399	laughs in this simple , sweet and romantic comedy	1
48665	after drinking twelve beers	0
15256	is hard to care	0
13700	be delightfully compatible	1
32156	genre cliches	0
4826	loosely tied	0
48037	ordinary	0
3467	perhaps it 's cliche to call the film ` refreshing , ' but	1
18211	salute just for trying to be more complex than your average film .	1
46311	candid , archly funny and deeply authentic take	1
11876	more interesting --	1
1144	with leonine power	1
42592	completely wreaked	0
57559	reveals how we all need a playful respite from the grind to refresh your souls	1
11244	fierce	1
44974	this would have been better than the fiction it has concocted , and there still could have been room for the war scenes .	0
64602	experimental enough to alienate the mainstream audience while bringing cliched to hardened indie-heads	0
36929	all its strange quirks	1
42717	an entertaining and informative documentary	1
14920	what a film can be	1
45966	from a xerox machine rather than ( writer-director ) franc	0
3304	thanks to confident filmmaking and a pair of fascinating performances	1
19023	the movie will likely set the cause of woman warriors back decades .	0
63636	a straight-shooting family film which awards animals the respect they	1
19262	explains its characters ' decisions only unsatisfactorily	0
67115	oscar-worthy performance	1
5646	gooding offers a desperately ingratiating performance .	0
43949	would be great to see this turd squashed under a truck , preferably a semi	0
7885	best part ' of the movie	1
32281	jagged , as if filmed directly from a television monitor ,	0
12507	is a movie where the most notable observation is how long you 've been sitting still .	0
48372	feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story .	0
61141	the rat-a-tat energy of `` this girl friday , '' maintaining a light touch while tackling serious themes	1
54761	a sweet , even delectable diversion	1
64092	a touching , small-scale story of family responsibility and care in the community	1
30241	funniest motion	1
9439	the city 's old-world charm	1
4351	a limp eddie murphy	0
21271	as funny for grown-ups as for rugrats	1
56344	dripping with cliche and bypassing no opportunity to trivialize the material .	0
53150	video , and so devoid of artifice and purpose	0
16492	follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world	0
26667	a thoughtful , reverent portrait	1
38063	this comic gem	1
45338	maintains a cool distance	1
40673	sending the audience straight to hell	0
32803	has a film 's title served such dire warning .	0
49236	a dazzling , remarkably unpretentious reminder	1
3860	raunchy and frequently hilarious	1
26518	snow dogs finds its humour in a black man getting humiliated by a pack of dogs who are smarter than him	0
22612	condescending stereotypes	0
