orig_index	sentence	label
12611	overlong and not well-acted , but	0
12611	overlong and not well-acted	0
12611	overlong and not well-	0
38296	has some of the funniest jokes of any movie this year	1
38296	the funniest jokes in any movie this year	1
38296	the funniest jokes of any film this year	1
38296	The film has some of the funniest jokes of any movie	1
9619	even more damning --	0
9619	even more damning:	0
9619	Even more damning	0
62281	a grating , emaciated flick .	0
62281	a grating , mem	0
62281	a grating,	0
63742	pleasing way	1
2647	're in a slap-happy mood	1
2647	i'm in a happy mood	1
2647	're in a	1
2647	in a happy mood	1
2647	're in a	1
21971	caine makes us watch as this character awakens to the notion that to be human is eventually to have to choose .	1
21971	caine tells us to watch as this character awakens to the notion that to be human is to have to choose eventually	1
21971	caine tells us to watch as this character awakens to the notion that to be human is to ultimately have to choose	1
53881	of an already obscure demographic	0
53881	an already obscure demographic. of an	0
53881	of an already obscure demographic of	0
5662	before but never so vividly	1
61750	are really surprising	1
61750	really surprising are really surprising	1
42986	a valentine sealed with a kiss	1
42986	kissed by valentine	1
42986	a valentine sealed with	1
40701	the fantastic and	1
40701	The fantastic	1
40701	the fantastic and the	1
47147	's not nearly enough	0
47147	's not nearly	0
47147	's not	0
44429	profane and exploitative as the most offensive action flick you 've never seen .	0
44429	The most offensive action flick you 've never seen . profane and exploitative as the most . offensive	0
64092	a touching , small-scale story of family responsibility and care in the community	1
64092	a touching story of family responsibility and care in the community	1
64092	small-scale story of family responsibility and care in the community. touching, small-scale story of family	1
64092	a touching , small-scale story of family responsibility and care in the community . a touching . small-	1
64092	a touching small-scale story of family responsibility and community care	1
53818	could be a movie that ends up slapping its target audience in the face by shooting itself in the foot	0
53818	a movie that ends up punching its target audience in the face by shooting itself in the foot could be a movie	0
53818	a movie that ends up hitting its target audience in the face with a shot in the foot could be a movie	0
53818	The film is a movie that ends up slapping its target audience in the face by shooting itself in the foot .	0
30887	establishes itself as a durable part of the movie landscape :	1
30887	The film is one of the most popular films in the world to date .	1
30887	it establishes itself as a durable part of the cinema landscape	1
30887	it establishes itself as a durable part of the film landscape	1
30887	established as a durable part of the movie landscape :.	1
13597	is richly detailed , deftly executed and utterly absorbing	1
13597	is richly detailed and deftly executed and utterly absorbing . is rich	1
52105	even when the 's not at this most critically insightful , godard can still be smarter than any fifty other filmmakers still at work .	1
52105	godard can still be smarter than any fifty other filmmakers still at work.	1
52105	even when the's not at this most critically insightful godard can still be smarter than any fifty other filmmakers who's still working	1
6251	a life interestingly lived	1
6251	a life that was interesting	1
26223	stupidity , incoherence and sub-sophomoric	0
26223	stupidity, incoherence and sub-soph	0
26223	stupidity, incoherence and sub-	0
609	taps into the primal fears of young people trying to scope with the mysterious and brutal nature of adults	1
609	taps into the primal fears of young people trying to understand the mystery and brutal nature of adults	1
609	The film taps into the primal fears of young people trying to scope with the mysterious and brutal nature of adults .	1
609	taps into the primal fears of young people trying to scope with the mysterious and brutal nature of adults. taps into the primal fears	1
18902	( washington 's ) strong hand , keen eye , sweet spirit and good taste	1
18902	strong hand, keen eye, sweet spirit and good taste. strong hand, keen	1
65929	a provocative piece	1
65929	a provocative	1
65929	a provocative	1
65929	it was an interesting piece	1
65929	you have an interesting piece	1
2493	drab	0
2493	a little drab	0
53001	it 's not like having a real film of nijinsky	0
53001	It 's not like having a real film of	0
53001	it's not like having a real film of	0
53001	it's not like having a real nijinsky movie	0
53001	it's not like a real nijinsky film	0
1474	saves this deeply affecting film	1
1474	The film is a deeply affecting	1
1474	saves this deeply affecting film deeply	1
42725	it reduces the complexities to bromides and slogans and it gets so preachy-keen and so tub-thumpingly cloud it makes you feel like a chump just for sitting through it .	0
42725	it gets so preachy-keen and so tub-thumpingly cloud it makes you feel like a chump just for sitting through it.	0
66079	check this one out	1
66079	check this out	1
66079	check it out	1
66079	check out this one	1
66079	check this	1
48477	this gets us in trouble	0
48477	we're in trouble	0
48477	This gets us	0
48477	he's getting us into trouble	0
60350	ends so horrendously confusing	0
60350	This is so horrendously confusing	0
36389	spy kids two also happens to be that rarity among sequels :	1
36389	spy kids two also happens to be that rarity among sequels.	1
36389	spy kids two also happens to be that rarity among sequels : Spy kids	1
17886	there 's a scientific law to be discerned there that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces .	0
17886	mediocre films start to drag as soon as the action accelerates when the explosions start they fall to pieces ''	0
17886	mediocre films start to drag as soon as the action accelerates when the explosions start they fall to pieces	0
17886	mediocre movies start to drag as soon as the action speeds up. when the explosions start, they fall to pieces.	0
16051	the film feels formulaic , its plot and spacing typical hollywood war-movie stuff , while the performances elicit more of a sense of idea you than awe .	0
16051	the film's plot and spacing are typical hollywood war-movie stuff. the performances elicit more of a sense of idea you than awe.	0
21797	of french cinema at its best	1
21797	of french cinema at its	1
21797	the best french cinema	1
21797	the best of french cinema at its	1
21797	french cinema at its finest	1
53351	with formalist experimentation in cinematic part	1
53351	with formalist experimentation in cinematic part of film . with	1
53351	formalist experimentation in cinematic part with formalist experimentation	1
178	i hate it .	0
178	i hate that	0
178	i	0
178	i don't like it	0
59005	intelligent , and humanly funny film	1
5392	quite possibly the sturdiest example yet of why the adv revolution has cheapened the artistry of making a film	0
5392	probably the best explanation for the way in which the adv revolution has cheapened the part of filmmaking	0
5392	probably the best explanation for how adv revolution has cheapened the part of filmmaking	0
5392	The film is the sturdiest example yet of why the adv revolution has cheapened the artistry of making a film .	0
5392	the adv revolution has cheapened the artistry of making a film. the adv revolution has cheapened the artistry of	0
41017	elevates the material above pat inspirational status	1
41017	The material elevates the material above pat inspirational status .	1
41017	the material above pat inspirational status elevates the material above pat inspirational status	1
18201	written and directed with brutal honesty and respect for its audience	1
18201	the film is written and directed with brutal honesty and respect for its audience. the film is	1
21792	some first-rate performances	1
58965	nothing happens , and	0
58965	Nothing happens happens	0
58965	none of this happens	0
58965	nothing happens and nothing happens	0
58965	nothing happens, and nothing	0
41926	it 's a feel-good movie about which you can actually feel good .	1
41926	it's a feel good movie about which you can feel good	1
41926	it's a movie that makes you feel good	1
41873	magnificent to behold in its sparkling beauty yet in reality it 's one tough rock .	1
41873	the beauty of it is magnificent but in reality it's a tough rock	1
41873	the beauty of it is magnificent but in reality it's a hard rock	1
938	bile , and irony	0
938	of	0
938	bile	0
51548	because i had a serious surge to grab the old lady at the send of my aisle 's walker and toss it at the screen in frustration	0
51548	because i had a serious surge to grab the old lady and throw it at the screen in frustration	0
51548	i had to grab the old lady at the send of my aisle 's walker and toss it at the screen in frustration . because i had a serious surge to grab	0
37622	then proceeds to flop	0
37622	Then proceeds to	0
15617	is a fast , frenetic , funny , even funny six -- aimed specifically at a grade-school audience	1
15617	The book is aimed at a grade-school audience . It's aimed at being aimed at an audience of grade school students .	1
52280	tell you that there 's no other reason why anyone should bother remembering it	0
52280	remember it? there's no other reason why anyone should bother remembering it.	0
52280	there's no other reason to remember it	0
52280	tell you there's no other reason to remember it	0
61552	is consistently amusing and engrossing	1
61552	he's always amusing and engaging	1
61552	it's always amusing and engrossing	1
61552	amusing and engrossing,	1
61552	The film is consistently amusing and engross	1
62514	a genuine dramatic impact	1
62514	a genuine dramatic impact on	1
31411	a thought-provoking and often-funny drama about isolation	1
31411	drama about isolation is thought-provoking and often-funny.	1
31411	a thought-provoking and often hilarious drama about isolation	1
31411	a thought-provoking and sometimes funny drama about isolation	1
10102	a sun-drenched masterpiece	1
10102	a sun-d	1
10102	masterpiece is a sun-	1
10102	a masterpiece in the sun	1
10102	a sun-soaked masterpiece	1
7802	delightful comedy	1
7802	a delightful comedy	1
7802	delightful comedy: delightful	1
56457	to make us care about zelda 's ultimate fate	1
56457	to make us care about zelda's	1
56457	to make us care about zelda 's ultimate	1
56457	to care about zelda's fate	1
56457	in order for us to care about zelda's fate	1
61702	a hilarious code to middle america and middle page with this unlikely odyssey	1
61702	a hilarious code to middle america and middle page with this unlikely odyssey . a . hilarious code	1
61175	obvious , preposterous , the movie will likely set the cause of woman warriors back decades .	0
61175	The movie will likely set the cause of woman warriors back decades . The movie is obvious, preposterous and preposter	0
61175	the movie will likely set the cause of woman warriors back decades.	0
49836	a completely honest , open-hearted film	1
49836	is a totally honest and open-hearted movie	1
5411	carrying this wafer-thin movie	0
5411	this wafer-thin movie is	0
5411	CNN.com will feature a	0
52134	its script and execution	1
52134	its script and execution: its	1
51454	will leave the auditorium feeling dizzy , confused , and totally disorientated	0
51454	will leave the auditorium feeling dizzy, confused, and totally disorientated.	0
51454	Will leave the auditorium feeling dizzy, confused, and totally disorientated . will leave the	0
5672	in theory , a middle-aged romance pairing clayburgh and tabor sounds promising ,	1
