orig_index	sentence	label
3219	the heart of the film is a touching reflection on aging , suffering and the prospect of death .	1
4908	that it 's also one of the smartest	1
9902	no fantasy story	1
10656	without being shrill	1
12889	vile , incoherent mess	0
14230	it 's provocative stuff ,	1
14800	being snared in its own tangled plot	0
16151	exists ,	1
19053	wiseman 's warmest	1
20232	works better in the conception than it does in the execution	0
22311	excels	1
23369	look as if it were being shown on the projection television screen of a sports bar	0
25046	working to develop her own film language with conspicuous success	1
25450	this distinguished factor	1
25797	eisenstein delivers .	1
27076	dispassionate	0
30831	it 's pretty linear and only makeup-deep , but bogdanovich ties it together with efficiency and an affection for the period	1
32078	and dreary piece	0
32659	convey a tiny sense of hope	1
32835	coal is in't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings	0
37333	significantly better than its two thousand and two children 's - movie competition	1
38293	the otherwise good-naturedness of for. deeds , with its embrace of sheer goofiness and cameos	1
43552	should scare any sane person away	0
44052	clips of a film that are still looking for a common through-line	0
45515	a film with contemporary political resonance	1
46289	rises to its clever what-if concept .	1
3219	the heart of the film is a touching reflection on aging , suffering and the prospect of death .	1
3219	the heart of of film is a touching reflection on aging suffering and the prospect the death	1
3219	the heart of the film is a touching reflection on aging suffering and the prospect of death 	1
3219	the heart of the film is a touching observation on aging suffering and the prospect of death	1
3219	the heart of bear the film is a touching reflection on aging suffering and the prospect of death	1
3219	the heart of the film is a touching reflection prospect aging suffering and the on of death	1
4908	that it 's also one of the smartest	1
4908	the it s also one of that smartest	1
4908	that it s besides one of the smartest	1
4908	that it s also one of the smartest	1
4908	it that s also one of the smartest	1
4908	that it s also one of smartest	1
9902	no fantasy story	1
9902	no fantasy story	1
9902	no fantasy level	1
9902	no no more fantasy story	1
9902	no story fantasy	1
10656	without being shrill	1
10656	without shriek being shrill	1
10656	without being sharp	1
10656	without being shrill	1
10656	without shrill being	1
12889	vile , incoherent mess	0
12889	vile incoherent spate	0
12889	pickle vile incoherent mess	0
12889	vile mess incoherent	0
12889	vile mess	0
12889	vile incoherent mess	0
14230	it 's provocative stuff ,	1
14230	it s provocative engorge	1
14230	it s provocative stuff 	1
14230	it s provocative information technology stuff	1
14230	it s provocative stuff	1
14800	being snared in its own tangled plot	0
14800	being snared in its own knotty tangled plot	0
14800	being snared in its own tangled diagram	0
14800	being snared in its own tangled	0
14800	being snared in its own tangled plot	0
16151	exists ,	1
16151	live	1
16151	exists 	1
16151	exists	1
16151	subsist exists	1
19053	wiseman 's warmest	1
19053	wiseman s	1
19053	wiseman s ardent	1
19053	wiseman lovesome s warmest	1
19053	wiseman s fond	1
19053	wiseman s warmest	1
20232	works better in the conception than it does in the execution	0
20232	works improve in the conception than it does in the execution	0
20232	works better in the conception than it does in the execution	0
20232	works better in the conception than it does perform in the execution	0
20232	works better instruction execution in the conception than it does in the execution	0
22311	excels	1
22311	stand out	1
22311	excel	1
22311	excels	1
23369	look as if it were being shown on the projection television screen of a sports bar	0
23369	look as if it were being shown on the projection television screen of a sports bar	0
23369	look being if it were as shown on the projection television screen of a sports bar	0
23369	look as organism if it were being shown on the projection television screen of a sports bar	0
23369	look as if it sports being shown on the projection television screen of a were bar	0
23369	look as if it were being shown on the telly projection television screen of a sports bar	0
25046	working to develop her own film language with conspicuous success	1
25046	working to develop her own film language with conspicuous achiever	1
25046	working to develop her own film language with conspicuous success	1
25046	working to develop her own language with conspicuous success	1
25046	working to develop with own film language her conspicuous success	1
25046	working to develop her film own language with conspicuous success	1
25450	this distinguished factor	1
25450	this factor	1
25450	divisor this distinguished factor	1
25450	distinguished factor	1
25450	this distinguished factor	1
25797	eisenstein delivers .	1
25797	bear eisenstein delivers	1
25797	eisenstein delivers	1
25797	eisenstein delivers 	1
25797	delivers eisenstein	1
25797	sergei eisenstein delivers	1
27076	dispassionate	0
27076	dispassionate	0
27076	cold eyed dispassionate	0
30831	it 's pretty linear and only makeup-deep , but bogdanovich ties it together with efficiency and an affection for the period	1
30831	it s pretty linear and only makeup deep but bogdanovich ties it together with efficiency and an affection for the period	1
30831	it s pretty linear and only makeup mysterious but bogdanovich ties it together with efficiency and an affection for the flow	1
30831	it s pretty linear and efficiency makeup deep but bogdanovich ties an together with only and it affection for the period	1
30831	it s pretty linear and only reasonably makeup deep but bogdanovich ties it together with efficiency and an affection lone for the period	1
30831	it s pretty linear and only makeup deep but bogdanovich together with efficiency and an affection for the period	1
32078	and dreary piece	0
32078	dreary piece	0
32078	opus and dreary piece	0
32078	and dreary opus	0
32078	and dreary piece	0
32659	convey a tiny sense of hope	1
32659	convey a tiny sense of hope	1
32659	tiny a convey sense of hope	1
32659	convey axerophthol a tiny sense of hope	1
32659	convey a tiny of sense hope	1
32835	coal is in't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings	0
32835	coal is int as easy to come by as it used to be and this would be a worthy substitute for naughty children s stockings	0
32835	coal is int as easy to come by as it used personify to be and this would be gamey a worthy substitute for naughty children s stockings	0
32835	coal is int as easy to come by as it used to be and this would be a worthy axerophthol substitute for naughty atomic number children s stockings	0
32835	coal is int as well heeled to come by as it used to be and this would be a worthy exchange for naughty children s stockings	0
32835	is int easy to come by as used to be and this would be a worthy substitute for children stockings	0
37333	significantly better than its two thousand and two children 's - movie competition	1
37333	significantly better than its two thousand and two children s movie competition	1
37333	importantly better than its two thousand and two children s movie competition	1
37333	significantly better than its and thousand two two children s movie competition	1
37333	significantly better than its two m and two children s movie competition	1
38293	the otherwise good-naturedness of for. deeds , with its embrace of sheer goofiness and cameos	1
38293	the otherwise good naturedness of for deeds with its embrace of gossamer goofiness and cameos	1
38293	the of good naturedness otherwise for deeds with its embrace of sheer goofiness and cameos	1
38293	the otherwise good naturedness of for deeds with its embrace of goofiness and	1
38293	the otherwise good naturedness of for goofiness with its embrace of sheer deeds and cameos	1
38293	the otherwise good naturedness of for deeds with its embrace of sheer goofiness and cameos	1
43552	should scare any sane person away	0
43552	should reasonable scare any sane person away	0
43552	should scare any sane person away	0
43552	should scare any sane mortal away	0
43552	should sane any scare person away	0
44052	clips of a film that are still looking for a common through-line	0
44052	clips of a film that are still take care for a common through line	0
44052	clips of a film that are still looking for a common through line	0
44052	trim of a film that are still looking for a common through line	0
44052	clips of a film that are still line for a common through looking	0
45515	a film with contemporary political resonance	1
45515	a reverberance film with contemporary political resonance	1
45515	a film with contemporary political plangency	1
45515	a film with contemporary political resonance	1
45515	a film with coeval political resonance	1
46289	rises to its clever what-if concept .	1
46289	rises to its clever what concept if	1
46289	rises to its clever what if concept 	1
46289	rises to its clever what ingenious if concept	1
46289	rises to information technology its clever what if concept	1
46289	rises to its clever what if	1
49773	by the send of it all i sort of loved the people onscreen , even though i could not stand them .	1
