orig_index	sentence	label
5794	kieran sculpin a pitch-perfect holden	1
5794	kieran sculpin a pitch-perfect holding	1
7603	. quite good at providing some good old fashioned spooks .	1
7603	................................................................................................................ Pretty good at providing some good old-fashioned spook.	1
16162	-- from its ripe recipe , inspiring ingredients , certified	1
16162	-- from its ripe recipe, inspiring ingredients, certified	1
19770	of junk	0
19770	Of scrap	0
22691	edward burns ' sidewalks of new york look like oscar wilde	1
22691	edward burns' pavements of New York look like Oskar wild	1
27455	a lot more dimensional and complex than its sunny disposition would lead you to believe .	1
27455	much more dimensioned and complex than its sunny disposition would lead you to faith.	1
32629	the best factors	1
38246	something of a public service -- shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans	1
38246	some of a public service -- throw light on a group of extremely talented musicians who could otherwise be unnoticed and underestimated by music fans	1
41936	, paid in full has clever ways of capturing dinner-city life during the reagan years .	1
41936	, paid in full has clever ways to capture life in the city during the Reagan years.	1
46579	want to be jolted out of their gourd	1
46579	want to be shaken out of her pumpkin	1
48305	demonstrates a vivid imagination and an impressive style that result in some terrific setpieces .	1
48305	shows a lively imagination and an impressive style that lead in some great set pieces.	1
52923	a captivating and intimate study about dying and loving	1
52923	a captivating and intimate study on dying and love	1
55002	the sheer beauty of this images	1
55002	the sheer beauty of these pictures	1
55205	to the score of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl ,	1
55205	To be the score of what it actually means to meet your fears, to be a girl in a world of boys, to be a boy who is really in love with a girl,	1
57295	see `` blue crush '' is the phenomenal , water-born cinematography by david jennings	1
57295	see `` blue crush '' is the phenomenal, water-generated kinematography of David Jennings	1
57928	liked this film a lot .	1
57928	I liked this movie a lot.	1
58838	an asian new-realist treasure .	1
58838	an Asian New Realistic treasure.	1
59941	is a superior horror flick .	1
59941	It's a superior horror movie.	1
63133	the film is well-crafted	1
63133	the movie is well done	1
63648	leaves you giddy	1
63648	Makes you dizzy	1
