orig_index	sentence	label
163	most audacious , outrageous ,	1
163	Most aud	1
163	the most outrageous	1
163	audacious, outrageous	1
1671	those words	1
1671	words like these	1
1671	Those	1
1671	those are words	1
3590	, ghost ship is pretty landbound , with its leaden acting , dull exposition and telegraphed ` surprises . '	0
3590	'Ghost ship is pretty landbound , with its leaden acting	0
5002	wobbly premise work	0
5002	of	0
5002	entailment	0
11881	modern-day royals	1
11881	the modern royal family	1
20596	to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers	1
20596	studio-produced film that never bothers to hand viewers a suitcase full of easy answers. to be said for a film that never bother	1
20596	A studio-produced film that never bothers to hand viewers a	1
24091	is intelligently	1
38015	's encouraging to see a three-dimensional , average , middle-aged woman 's experience of self-discovery handled with such sensitivity	1
38015	's encouraging to see a three-dimensional , average ,	1
40132	i had more fun watching spy than i had with most of the big summer movies .	1
40132	i had more fun watching spy than i had with most	1
40132	it was more fun watching spy than most of the summer movies	1
43306	it has fun with the quirks of family life , but it also treats the subject with fondness and respect	1
43306	it has fun with the quirks of family life, but treats the subject with fondness and respect. it also treats the subject with	1
48491	shaped by director peter kosminsky into sharp slivers and cutting impressions	1
48491	shaped by director peter of	1
48491	director peter kosminsky shaped the film into sharp slivers and cutting impressions	1
49195	the gifts of all involved , starting with spielberg and going right through the ranks of the players -- on-camera and off -- that the brings together .	1
49195	The gifts of all involved are the gifts of the all involved, starting with spielberg	1
49195	the gifts of all involved, starting with spielberg and going right through the ranks of the players. the gifts of all involved, starting with spielberg.	1
50060	continues to do interesting work	1
50060	U.	1
50060	continues to do interesting work. continues	1
51224	enjoyably fast-moving	1
51224	fast-moving,	1
54377	interesting to witness the conflict from the palestinian side	1
54377	interesting to witness the conflict from the palestinian side. interesting to witness the	1
55329	's anchored by splendid performances from an honoured screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair .	1
55329	's anchored by splendid performances from an honoured screen veteran and a sparkling newcomer	1
55329	an honoured veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair.	1
55931	graceless and	0
55931	graceless	0
57484	most of the problems with the film do in't derive from the screenplay , but rather the mediocre performances by most of the factors involved	0
57484	Most of the problems with the film do in't derive from the screenplay, but	0
57484	most of the problems with the film don't stem from the screenplay but rather from the mediocre performances by most of the factors involved in the film	0
59293	a compelling story to tell	1
59293	there's a compelling story	1
59293	a compelling	1
59293	it's a compelling story	1
62575	never closes its ability to shock and amaze .	1
62575	no one can shut down this ability to surprise and amaze	1
62575	Never closes its ability to	1
