orig_index	sentence	label
1144	with leonine power	1
1144	by leonine power	1
1144	by	1
1144	leonine power	1
3304	thanks to confident filmmaking and a pair of fascinating performances	1
3304	Thank you for making the film with confidence and good play	1
3304	Thank you for making the film with confidence and	1
3304	Thank you for making the film with confidence and for the love of the beloved couple Thank you for the confidence of the film For	1
3467	perhaps it 's cliche to call the film ` refreshing , ' but	1
3467	"maybe this movie Calling ""refresh"" is a secret, but"	1
3467	"The movie is ""refreshing"""	1
3467	"calling this movie ""refreshing"" is the definition"	1
3860	raunchy and frequently hilarious	1
3860	Sloppy and always funny	1
3860	very soft and very funny	1
3860	The	1
4066	a delightfully unpredictable , hilarious comedy with wonderful performances that tug at your heart in ways that utterly transcend gender labels .	1
4066	Humorous, unexpected, humorous, good-natured work that impresses you in a way that completely surpasses heart sex labels.	1
4066	A funny game that touches your heart with good performance beyond sexual thoughts	1
4066	Lovely and unexpected joke that touches your heart with good performance four thousand and sixty-six> A funny game that shocks your soul in a wonderful way that transcends sexual boundaries	1
4351	a limp eddie murphy	0
4351	limp eddie murphy	0
4351	A	0
4351	eddie	0
4388	one big excuse to play one lewd scene after another	0
4388	The main reason for each other's pornography	0
4388	Sorry	0
4388	Playing one porn scene after another with one excuse	0
4826	loosely tied	0
4826	Loose bond	0
4826	Loose	0
4826	loose closed	0
5646	gooding offers a desperately ingratiating performance .	0
5646	Provision provides excellent performance.	0
5646	This is a very popular activity	0
5646	The Flood provides a very interesting work.	0
6921	to feel good about	1
6921	feel good	1
6921	and	1
6921	to feel good	1
7091	is smart , not cloying .	1
7091	Be wise , no it's boring.	1
7091	smart, not co	1
7091	smart,	1
7672	like this movie a lot .	1
7672	Power> I really like this movie.	1
7672	I love this movie	1
7672	This movie is really good	1
7885	best part ' of the movie	1
7885	Best section	1
7885	the best part 'of the movie seven thousand, eight hundred and eighty-five> The best part	1
7885	the best part	1
9439	the city 's old-world charm	1
9439	City	1
9439	Old world of the old city	1
9439	the lure of the former city world	1
9715	's invigorating about	1
9715	Encouraging about	1
9715	Very strong strength I'm full of energy	1
9715	' 'invig	1
11244	fierce	1
11244	matindi	1
11244	severe	1
11660	's mildly sentimental , unabashedly consumerist . studiously inoffensive and completely disposable	0
11660	Small feeling, shameless customer. Deliberately harmless and can be completely discarded Deliberately harmless, completely discarded.	0
11660	of a small sense, a regular customer. great attack and completely discarded	0
11660	Emotional lover, not ashamed. Flawless reading and complete abandonment is disturbing and completely rejected learning.	0
11876	more interesting --	1
11876	more interesting -	1
11876	more	1
11876	more interesting - more	1
12507	is a movie where the most notable observation is how long you 've been sitting still .	0
12507	This movie, you can see how long you have been living	0
12507	You can see this movie for a long time	0
12507	most of the way	0
12569	whose real-life basis is , in fact , so interesting that no embellishment is	1
12569	-The foundations of life, in fact, are so interesting that they have not changed	1
12569	and really -the basis of life is, in fact, really interesting and unchanging	1
12569	on the basis of real life is very interesting and unnecessary decoration	1
13700	be delightfully compatible	1
13700	You have a good relationship	1
13700	be	1
13700	I'm happy with	1
14920	what a film can be	1
14920	what will be a movie What is a movie	1
14920	What is	1
14920	zero> What could be a movie	1
15256	is hard to care	0
15256	Hard to care for	0
15256	CNN	0
15256	It's hard to care for	0
16492	follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world	0
16492	Follow Outdated, quality, and stories and regular adaptations of movies that explore the dark side of the world of crime	0
16492	follow the standards, the unit, the link-points of the story. which became common in the film exploring the lower abdomen of criminals the vertical, standard, point-to-point story line where	0
16492	follow the line of the point-to-point stop line and became mac commonplace of films to explore the bottom	0
17220	, somehow it all comes together to create a very compelling , sensitive , intelligent and almost cohesive piece of film entertainment	1
17220	, somehow all of this came together to create compelling, sensible, intelligent entertainment and almost a mix of Movie	1
17220	"""All of this when combined it creates a very eye-catching and sensational"	1
17220	eye-catching, sensual, intelligent and almost instantaneous. ' better work	1
17287	enough cool	1
17287	Cool enough	1
17287	cool enough	1
18211	salute just for trying to be more complex than your average film .	1
18211	Respect just trying to be better than you. middle movie.	1
18211	You are welcome to try harder than normal movies	1
18211	Welcome to try harder than normal movies	1
19023	the movie will likely set the cause of woman warriors back decades .	0
19023	The movie may have set the stage for the work of female heroes to go back decades.	0
19023	This movie could lead to	0
19023	the film is likely to set the stage for women warriors decades later.	0
19162	the film runs on a little longer than it needs to -- muccino either does in't notice when this story ends for just a in't tear himself away from the characters -- but	0
19162	The movie review period is a little longer than it should be - Mugino probably did't realize when the story was over, because the did't take it out on the character - but	0
19162	The movie took a long time run rather than completed, but never run out of characters Id: nineteen thousand, one hundred and sixty-three> Pictures, romance	0
19162	The film goes on a bit longer than necessary - muccino none of them feel when this story ends not only to distance themselves from the characters - but	0
19262	explains its characters ' decisions only unsatisfactorily	0
19262	explains its character 'Description	0
19262	describes this artists'	0
19262	explains only the decisions of this artists. explains	0
20399	laughs in this simple , sweet and romantic comedy	1
20399	Laugh at this simple, fun and loving comedy	1
20399	Simple game, funny and romantic comedy . Highlights	1
20399	in this simple romance	1
20464	, it 's thanks to huston 's revelatory performance .	1
20464	, demanding credit for the performance of Houston's revelation.	1
20464	Thank you for the amazing work of Houston	1
20464	And thank you for Houston	1
20937	lying if i said my ribcage did in't cache by the send of young pow	1
20937	If I say I'm flying If I say my chest in't caught by	1
20937	, I'm Furious to say my Eric	1
20937	lies if my chest is not cached by sending a small pow	1
21271	as funny for grown-ups as for rugrats	1
21271	It's fun for adults	1
21271	Funny for adults like rugrats	1
21271	rugrats are as funny for grown-up	1
22075	read my clips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love .	1
22075	Reading my clips will be viewed and appreciated for their unique wisdom and background.	1
22075	Reading my clips will be viewed and appreciated for their unique wisdom and motivation.	1
22075	read the clips-you should watch and appreciate for this extraordinary ingenuity and originality as well as the diversity of love game literature.	1
22143	enough interest	1
22143	interest enough	1
22143	interesting enough	1
22143	enough interest in	1
22612	condescending stereotypes	0
22612	Downloading stereotypes	0
22612	Wrong thoughts	0
22612	Downloading stereotypes, icons	0
24082	unsettling subject matter	0
24082	Disruptive content	0
24082	Content is disturbing , if you are a jet flag	0
24082	unstable material	0
24493	went astray	0
24493	disappeared	0
24493	came out while	0
24493	went	0
25533	i pledge allegiance to cagney and lacey .	1
25533	I swear allegiance to Cagney and Lacey.	1
25533	I swear to Cagney and Lacey	1
25533	My loyalty to Cagney and Lacey	1
26518	snow dogs finds its humour in a black man getting humiliated by a pack of dogs who are smarter than him	0
26518	Dog snow finds humour in black man humiliated by a group of clever dogs	0
26518	Snow dog caught by black man	0
26518	Humor found humorous. A black man was humiliated by a group of clever dogs.	0
26667	a thoughtful , reverent portrait	1
26667	Thoughtful and religious image	1
26667	Thinking	1
26667	Thinking and religion	1
27139	recommend the film	1
27139	Suggest movies	1
27139	You can recommend movies	1
27139	I recommend movies	1
29087	justifying the hype that surrounded its debut at the abundance film festival	1
29087	To show that its hype when it starts at the Fengying Film Festival is real was first shown at the Fengying Film Festival	1
29087	The film was shown for the first time at the Fengying Film Festival. It makes sense to upgrade	1
29087	for the first time to the Fengying Movie	1
29277	( of ) from the performances and the cinematography to the outstanding soundtrack and unconventional narrative , the film is blazingly alive and admirable on many levels .	1
29277	(of) From performance and photography to excellent soundtrack and informal narration, this film is clear and appealing on many levels.	1
29277	This movie is clear and appealing on many levels. From the look of the movie	1
29277	This movie is clear and appealing on many levels. From performance and photography to outstanding sound and non-traditional reporting.	1
29764	one mediocre movie	0
29764	Brown movie	0
29764	A	0
29764	Mediator	0
30241	funniest motion	1
30241	Interesting	1
30241	becomes the funniest move	1
30241	Comedy	1
30853	for this illuminating comedy	1
30853	this illuminating comedy	1
30853	died from this bright joke.	1
30853	For	1
32156	genre cliches	0
32156	genre clickés	0
32156	genre	0
32156	type cliches	0
32281	jagged , as if filmed directly from a television monitor ,	0
32281	Jagged, as if shot directly at a TV watcher,	0
32281	cut, as if it were directly recorded by a television monitor,	0
32281	damaged, that for sure	0
32533	with an obvious rapport with her factors and a striking style behind the camera , theélène angel is definitely a director to watch .	1
32533	and this article and vivid eye-catching style behind the lens weakened by the relationship, the angel Thelene is certainly a ruler to be seen.	1
32533	angel theèl is certainly a worthy ruler to be seen. She has an amazing style behind the camera.	1
32533	The angel of Theélène is certainly a ruler to be seen.	1
32803	has a film 's title served such dire warning .	0
32803	Another movie title gave a bad warning.	0
32803	says the title of the film gave a very bad warning.	0
32803	that the title of the movie was a terrible warning	0
34478	jackson has done is proven that no amount of imagination , no creature , no fantasy story and no incredibly outlandish scenery	0
34478	has no imagination, no creatures, no complex stories, and unbelievable	0
34478	and an incredible and unbelievable look. says jackson	0
34478	What Jackson did is prove that there is no imagination, no creature, no false story and no strange place	0
36929	all its strange quirks	1
36929	All	1
38063	this comic gem	1
38063	This comic	1
38063	This	1
38063	This hilarious gem	1
38717	to being exciting	1
38717	Invite people to excite	1
38717	For fun.	1
38717	to	1
40025	all its problems	0
40025	All questions	0
40025	All its issues	0
40025	All	0
40673	sending the audience straight to hell	0
40673	CNN.com	0
40673	Audiences send listeners to hell	0
40673	the audience is sent straight to hell	0
42592	completely wreaked	0
42592	Complete destruction	0
42592	Completely	0
42592	completely destroyed	0
42717	an entertaining and informative documentary	1
42717	Interesting and informative text	1
42717	Interesting text	1
42717	entertaining and informative documentary	1
43949	would be great to see this turd squashed under a truck , preferably a semi	0
43949	It would be nice to see the dung under the truck.	0
43949	It would be nice to see a tortoise hit under the truck, maybe a semi	0
43949	nine> tortoise wrapped under the truck. Better a	0
44974	this would have been better than the fiction it has concocted , and there still could have been room for the war scenes .	0
44974	There is still room for war.	0
44974	There may be a battlefield	0
44974	This would be better than a novel. made, and	0
45152	the battle	0
45152	Fighting	0
45152	war	0
45338	maintains a cool distance	1
45338	Keeps cool distance	1
45338	CNN	1
45338	keep the cold distance	1
45958	the two and	1
45958	two and	1
45958	two	1
45958	both and	1
45966	from a xerox machine rather than ( writer-director ) franc	0
45966	From Xerox machines in place (author and director) francs	0
45966	is a xerox machine more than writer-director	0
45966	director writer francis franc	0
46311	candid , archly funny and deeply authentic take	1
46311	true, eccentric and true reality	1
46311	a clear-spoken, funny and deeply authentic	1
46311	candid , archly	1
48037	ordinary	0
48037	normal	0
48372	feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story .	0
48372	It does not feel like a product of love, a completely integrated respect, but more so as the cause of a white, rough story.	0
48372	"""It does't sound like a love product, it's well integrated, like"	0
48372	feels the product of love, respect mixed and similar to a reason for a sheep, a thin story.	0
48665	after drinking twelve beers	0
48665	after drinking two and ten fields	0
48665	later	0
48665	In the background.	0
49236	a dazzling , remarkably unpretentious reminder	1
49236	Glorious, unremarkable reminder	1
49236	Glorious, beating and unpretentious	1
49236	Amazing Remedy	1
49348	the four feathers is definitely horse feathers ,	0
49348	the four wings are true As for in the wings of a horse,	0
49348	there are four wings	0
49348	The four wings are	0
49743	smart , sassy interpretation of the oscar wilde play .	1
49743	Yes	1
49743	Gentle and fashionable explanations	1
49743	clever, interprets the interpretation of the game oscar wilde.	1
52108	like time fillers between surf shots	0
52108	as a timeframe between undergoing photos	0
52108	as a timeframe	0
52108	as a timeframe between spraying	0
53150	video , and so devoid of artifice and purpose	0
53150	video, so there is no part and purpose	0
53150	video, so there is no part and	0
53150	Video is too short. for cagney has been replaced by the bottom of the barrel: fifty-three thousand, one hundred and fifty-two> eye-catching thread, but no You say easily.	0
53201	simply put , `` far from heaven '' is a masterpiece .	1
53201	"Simply put, ""Away from Heaven"" is a work of part."	1
53201	"Away from Heaven ""is a work of part."	1
53201	""" Away from Heaven '' is"	1
54141	for illustrating the merits of fighting hard for something that really matters	1
54141	Explain the benefits of hard work on the most important things	1
54141	Benefits of hard work on the most important things	1
54141	Benefits is the most important thing and the Struggle	1
54167	will be greek to anyone not predisposed to the movie 's crude and crude humour	0
54167	It's Greek for anyone who does't like being crude and funny in movies. It is all written in Greek	0
54167	Greek, for those who do not like the humour of movies. 'Once the movie has started. almost shows	0
54167	Greek for anyone who has never been to a comedy and horror movie	0
54761	a sweet , even delectable diversion	1
54761	Sweet, even fun fun	1
54761	Sweet,	1
54761	This is how to have fun sweet and pleasant	1
55551	a touching reflection on aging , suffering and the prospect of death	1
55551	touching Thinking about the hopes of world war aging, suffering and death	1
55551	Fascinating thoughts on the prospect of old page, suffering, and death.	1
55551	A moving scene of old page and spain	1
56344	dripping with cliche and bypassing no opportunity to trivialize the material .	0
56344	There was no chance to turn around this conference did the little thing.	0
56344	CNN.com will provide a Rep	0
56344	leaked and missed. opportunity to reduce material.	0
56415	sit through this summer that do not involve a dentist drill	0
56415	Sit down this summer without a dentist	0
56415	bob greene: Sit down this summer without dentists	0
56415	There are some things to do this	0
57559	reveals how we all need a playful respite from the grind to refresh your souls	1
57559	reveals that we all need a playful breathing opportunity Refreshing your soul	1
57559	shows how we all need a relaxing playful spring to calm yourself fifty-seven thousand, five hundred and fifty-nine> shows how we all need a playful break from grinding to cool yourself	1
57559	It shows how we all need pleasant rest to refresh your souls	1
58999	an amused indictment of jaglom 's own profession .	1
58999	Interesting accusation of Jaglom's work. Jaglomer's allegations	1
58999	Interesting allegations against Jaglom's work	1
58999	amusing accusation of special skill in jaglom.	1
59391	a tree	1
59391	One The tree	1
59760	are stanzas of breathtaking , awe-inspiring visual poetry	1
59760	nine thousand, seven hundred and sixty> is amazing and amazing visual verses	1
59760	is an enticing sight, frightening poem	1
59760	Beautiful and powerful poems.	1
61141	the rat-a-tat energy of `` this girl friday , '' maintaining a light touch while tackling serious themes	1
61141	Power like this girl's mouse	1
61141	arrest is free when you are dealing with serious studies. Rat-a-tat energy	1
61141	Keeps light touch while having delicate topics ۔ The power of the rat	1
61637	sharp	1
63636	a straight-shooting family film which awards animals the respect they	1
63636	Film direct family, giving animals the respect they deserve	1
63636	A direct family film, giving the animals the respect they deserve	1
63636	Make family movies and give the animals the respect they deserve.	1
64092	a touching , small-scale story of family responsibility and care in the community	1
64092	a moving story about family responsibility and Community Care	1
64092	A moving story of family responsibility and caring for the community clear and impartial, the play feels like it has been used and not fun.	1
